,0,1,Month,Actual year,index1,Date,All property types,City
0,January,2000,January,2000,0,Jan-00,"£130,411",london
1,February,2000,February,2000,1,Feb-00,"£132,705",london
2,March,2000,March,2000,2,Mar-00,"£134,286",london
3,April,2000,April,2000,3,Apr-00,"£140,670",london
4,May,2000,May,2000,4,May-00,"£140,862",london
5,June,2000,June,2000,5,Jun-00,"£143,542",london
6,July,2000,July,2000,6,Jul-00,"£146,228",london
7,August,2000,August,2000,7,Aug-00,"£147,284",london
8,September,2000,September,2000,8,Sep-00,"£147,316",london
9,October,2000,October,2000,9,Oct-00,"£145,626",london
10,November,2000,November,2000,10,Nov-00,"£147,666",london
11,December,2000,December,2000,11,Dec-00,"£147,483",london
12,January,2001,January,2001,12,Jan-01,"£149,543",london
13,February,2001,February,2001,13,Feb-01,"£149,776",london
14,March,2001,March,2001,14,Mar-01,"£150,941",london
15,April,2001,April,2001,15,Apr-01,"£152,865",london
16,May,2001,May,2001,16,May-01,"£157,156",london
17,June,2001,June,2001,17,Jun-01,"£158,760",london
18,July,2001,July,2001,18,Jul-01,"£161,122",london
19,August,2001,August,2001,19,Aug-01,"£164,628",london
20,September,2001,September,2001,20,Sep-01,"£164,820",london
21,October,2001,October,2001,21,Oct-01,"£166,189",london
22,November,2001,November,2001,22,Nov-01,"£167,214",london
23,December,2001,December,2001,23,Dec-01,"£167,693",london
24,January,2002,January,2002,24,Jan-02,"£169,841",london
25,February,2002,February,2002,25,Feb-02,"£170,502",london
26,March,2002,March,2002,26,Mar-02,"£172,749",london
27,April,2002,April,2002,27,Apr-02,"£178,218",london
28,May,2002,May,2002,28,May-02,"£182,805",london
29,June,2002,June,2002,29,Jun-02,"£186,038",london
30,July,2002,July,2002,30,Jul-02,"£191,162",london
31,August,2002,August,2002,31,Aug-02,"£195,333",london
32,September,2002,September,2002,32,Sep-02,"£197,045",london
33,October,2002,October,2002,33,Oct-02,"£199,092",london
34,November,2002,November,2002,34,Nov-02,"£202,527",london
35,December,2002,December,2002,35,Dec-02,"£203,437",london
36,January,2003,January,2003,36,Jan-03,"£207,162",london
37,February,2003,February,2003,37,Feb-03,"£206,464",london
38,March,2003,March,2003,38,Mar-03,"£205,573",london
39,April,2003,April,2003,39,Apr-03,"£207,953",london
40,May,2003,May,2003,40,May-03,"£210,583",london
41,June,2003,June,2003,41,Jun-03,"£208,941",london
42,July,2003,July,2003,42,Jul-03,"£213,806",london
43,August,2003,August,2003,43,Aug-03,"£212,692",london
44,September,2003,September,2003,44,Sep-03,"£212,901",london
45,October,2003,October,2003,45,Oct-03,"£214,608",london
46,November,2003,November,2003,46,Nov-03,"£215,556",london
47,December,2003,December,2003,47,Dec-03,"£216,971",london
48,January,2004,January,2004,48,Jan-04,"£218,855",london
49,February,2004,February,2004,49,Feb-04,"£219,804",london
50,March,2004,March,2004,50,Mar-04,"£221,324",london
51,April,2004,April,2004,51,Apr-04,"£225,863",london
52,May,2004,May,2004,52,May-04,"£227,330",london
53,June,2004,June,2004,53,Jun-04,"£230,156",london
54,July,2004,July,2004,54,Jul-04,"£233,877",london
55,August,2004,August,2004,55,Aug-04,"£234,836",london
56,September,2004,September,2004,56,Sep-04,"£234,134",london
57,October,2004,October,2004,57,Oct-04,"£232,287",london
58,November,2004,November,2004,58,Nov-04,"£234,718",london
59,December,2004,December,2004,59,Dec-04,"£230,185",london
60,January,2005,January,2005,60,Jan-05,"£232,422",london
61,February,2005,February,2005,61,Feb-05,"£231,321",london
62,March,2005,March,2005,62,Mar-05,"£231,263",london
63,April,2005,April,2005,63,Apr-05,"£235,367",london
64,May,2005,May,2005,64,May-05,"£235,685",london
65,June,2005,June,2005,65,Jun-05,"£235,899",london
66,July,2005,July,2005,66,Jul-05,"£237,872",london
67,August,2005,August,2005,67,Aug-05,"£237,971",london
68,September,2005,September,2005,68,Sep-05,"£236,916",london
69,October,2005,October,2005,69,Oct-05,"£234,298",london
70,November,2005,November,2005,70,Nov-05,"£236,561",london
71,December,2005,December,2005,71,Dec-05,"£238,377",london
72,January,2006,January,2006,72,Jan-06,"£239,846",london
73,February,2006,February,2006,73,Feb-06,"£239,115",london
74,March,2006,March,2006,74,Mar-06,"£241,380",london
75,April,2006,April,2006,75,Apr-06,"£245,474",london
76,May,2006,May,2006,76,May-06,"£247,591",london
77,June,2006,June,2006,77,Jun-06,"£251,417",london
78,July,2006,July,2006,78,Jul-06,"£253,883",london
79,August,2006,August,2006,79,Aug-06,"£256,704",london
80,September,2006,September,2006,80,Sep-06,"£257,541",london
81,October,2006,October,2006,81,Oct-06,"£259,115",london
82,November,2006,November,2006,82,Nov-06,"£258,814",london
83,December,2006,December,2006,83,Dec-06,"£264,494",london
84,January,2007,January,2007,84,Jan-07,"£267,658",london
85,February,2007,February,2007,85,Feb-07,"£270,780",london
86,March,2007,March,2007,86,Mar-07,"£273,479",london
87,April,2007,April,2007,87,Apr-07,"£278,805",london
88,May,2007,May,2007,88,May-07,"£282,726",london
89,June,2007,June,2007,89,Jun-07,"£285,958",london
90,July,2007,July,2007,90,Jul-07,"£295,694",london
91,August,2007,August,2007,91,Aug-07,"£297,653",london
92,September,2007,September,2007,92,Sep-07,"£298,414",london
93,October,2007,October,2007,93,Oct-07,"£298,559",london
94,November,2007,November,2007,94,Nov-07,"£297,648",london
95,December,2007,December,2007,95,Dec-07,"£297,994",london
96,January,2008,January,2008,96,Jan-08,"£298,596",london
97,February,2008,February,2008,97,Feb-08,"£295,700",london
98,March,2008,March,2008,98,Mar-08,"£293,605",london
99,April,2008,April,2008,99,Apr-08,"£294,346",london
100,May,2008,May,2008,100,May-08,"£295,163",london
101,June,2008,June,2008,101,Jun-08,"£290,100",london
102,July,2008,July,2008,102,Jul-08,"£290,261",london
103,August,2008,August,2008,103,Aug-08,"£281,721",london
104,September,2008,September,2008,104,Sep-08,"£276,487",london
105,October,2008,October,2008,105,Oct-08,"£266,999",london
106,November,2008,November,2008,106,Nov-08,"£258,647",london
107,December,2008,December,2008,107,Dec-08,"£253,881",london
108,January,2009,January,2009,108,Jan-09,"£253,093",london
109,February,2009,February,2009,109,Feb-09,"£249,847",london
110,March,2009,March,2009,110,Mar-09,"£247,264",london
111,April,2009,April,2009,111,Apr-09,"£245,351",london
112,May,2009,May,2009,112,May-09,"£249,991",london
113,June,2009,June,2009,113,Jun-09,"£253,596",london
114,July,2009,July,2009,114,Jul-09,"£259,793",london
115,August,2009,August,2009,115,Aug-09,"£262,076",london
116,September,2009,September,2009,116,Sep-09,"£267,501",london
117,October,2009,October,2009,117,Oct-09,"£268,780",london
118,November,2009,November,2009,118,Nov-09,"£266,837",london
119,December,2009,December,2009,119,Dec-09,"£270,118",london
120,January,2010,January,2010,120,Jan-10,"£279,724",london
121,February,2010,February,2010,121,Feb-10,"£278,753",london
122,March,2010,March,2010,122,Mar-10,"£280,472",london
123,April,2010,April,2010,123,Apr-10,"£281,981",london
124,May,2010,May,2010,124,May-10,"£281,762",london
125,June,2010,June,2010,125,Jun-10,"£284,541",london
126,July,2010,July,2010,126,Jul-10,"£292,772",london
127,August,2010,August,2010,127,Aug-10,"£290,646",london
128,September,2010,September,2010,128,Sep-10,"£290,093",london
129,October,2010,October,2010,129,Oct-10,"£286,131",london
130,November,2010,November,2010,130,Nov-10,"£282,290",london
131,December,2010,December,2010,131,Dec-10,"£285,353",london
132,January,2011,January,2011,132,Jan-11,"£287,983",london
133,February,2011,February,2011,133,Feb-11,"£285,227",london
134,March,2011,March,2011,134,Mar-11,"£287,092",london
135,April,2011,April,2011,135,Apr-11,"£293,993",london
136,May,2011,May,2011,136,May-11,"£284,722",london
137,June,2011,June,2011,137,Jun-11,"£285,906",london
138,July,2011,July,2011,138,Jul-11,"£295,843",london
139,August,2011,August,2011,139,Aug-11,"£294,903",london
140,September,2011,September,2011,140,Sep-11,"£295,358",london
141,October,2011,October,2011,141,Oct-11,"£292,267",london
142,November,2011,November,2011,142,Nov-11,"£291,036",london
143,December,2011,December,2011,143,Dec-11,"£292,284",london
144,January,2012,January,2012,144,Jan-12,"£294,360",london
145,February,2012,February,2012,145,Feb-12,"£292,381",london
146,March,2012,March,2012,146,Mar-12,"£290,379",london
147,April,2012,April,2012,147,Apr-12,"£299,065",london
148,May,2012,May,2012,148,May-12,"£304,081",london
149,June,2012,June,2012,149,Jun-12,"£306,823",london
150,July,2012,July,2012,150,Jul-12,"£308,962",london
151,August,2012,August,2012,151,Aug-12,"£310,043",london
152,September,2012,September,2012,152,Sep-12,"£308,469",london
153,October,2012,October,2012,153,Oct-12,"£310,281",london
154,November,2012,November,2012,154,Nov-12,"£308,540",london
155,December,2012,December,2012,155,Dec-12,"£313,744",london
156,January,2013,January,2013,156,Jan-13,"£311,364",london
157,February,2013,February,2013,157,Feb-13,"£313,550",london
158,March,2013,March,2013,158,Mar-13,"£312,289",london
159,April,2013,April,2013,159,Apr-13,"£320,921",london
160,May,2013,May,2013,160,May-13,"£322,324",london
161,June,2013,June,2013,161,Jun-13,"£324,518",london
162,July,2013,July,2013,162,Jul-13,"£332,988",london
163,August,2013,August,2013,163,Aug-13,"£335,743",london
164,September,2013,September,2013,164,Sep-13,"£340,494",london
165,October,2013,October,2013,165,Oct-13,"£340,045",london
166,November,2013,November,2013,166,Nov-13,"£343,749",london
167,December,2013,December,2013,167,Dec-13,"£352,028",london
168,January,2014,January,2014,168,Jan-14,"£355,830",london
169,February,2014,February,2014,169,Feb-14,"£357,876",london
170,March,2014,March,2014,170,Mar-14,"£361,400",london
171,April,2014,April,2014,171,Apr-14,"£375,337",london
172,May,2014,May,2014,172,May-14,"£382,705",london
173,June,2014,June,2014,173,Jun-14,"£387,182",london
174,July,2014,July,2014,174,Jul-14,"£398,737",london
175,August,2014,August,2014,175,Aug-14,"£404,754",london
176,September,2014,September,2014,176,Sep-14,"£403,670",london
177,October,2014,October,2014,177,Oct-14,"£402,300",london
178,November,2014,November,2014,178,Nov-14,"£400,803",london
179,December,2014,December,2014,179,Dec-14,"£402,898",london
180,January,2015,January,2015,180,Jan-15,"£402,847",london
181,February,2015,February,2015,181,Feb-15,"£404,773",london
182,March,2015,March,2015,182,Mar-15,"£404,706",london
183,April,2015,April,2015,183,Apr-15,"£410,445",london
184,May,2015,May,2015,184,May-15,"£415,817",london
185,June,2015,June,2015,185,Jun-15,"£419,474",london
186,July,2015,July,2015,186,Jul-15,"£431,644",london
187,August,2015,August,2015,187,Aug-15,"£436,152",london
188,September,2015,September,2015,188,Sep-15,"£439,729",london
189,October,2015,October,2015,189,Oct-15,"£440,484",london
190,November,2015,November,2015,190,Nov-15,"£445,485",london
191,December,2015,December,2015,191,Dec-15,"£450,053",london
192,January,2016,January,2016,192,Jan-16,"£457,466",london
193,February,2016,February,2016,193,Feb-16,"£457,759",london
194,March,2016,March,2016,194,Mar-16,"£464,647",london
195,April,2016,April,2016,195,Apr-16,"£461,068",london
196,May,2016,May,2016,196,May-16,"£467,485",london
197,June,2016,June,2016,197,Jun-16,"£468,120",london
198,July,2016,July,2016,198,Jul-16,"£475,530",london
199,August,2016,August,2016,199,Aug-16,"£471,957",london
200,September,2016,September,2016,200,Sep-16,"£471,767",london
201,October,2016,October,2016,201,Oct-16,"£471,008",london
202,November,2016,November,2016,202,Nov-16,"£470,854",london
203,December,2016,December,2016,203,Dec-16,"£472,374",london
204,January,2017,January,2017,204,Jan-17,"£475,619",london
205,February,2017,February,2017,205,Feb-17,"£476,717",london
206,March,2017,March,2017,206,Mar-17,"£475,442",london
207,April,2017,April,2017,207,Apr-17,"£479,790",london
208,May,2017,May,2017,208,May-17,"£480,902",london
209,June,2017,June,2017,209,Jun-17,"£480,152",london
210,July,2017,July,2017,210,Jul-17,"£488,527",london
211,August,2017,August,2017,211,Aug-17,"£487,085",london
212,September,2017,September,2017,212,Sep-17,"£483,833",london
213,October,2017,October,2017,213,Oct-17,"£481,762",london
214,November,2017,November,2017,214,Nov-17,"£476,290",london
215,December,2017,December,2017,215,Dec-17,"£476,848",london
216,January,2018,January,2018,216,Jan-18,"£479,772",london
217,February,2018,February,2018,217,Feb-18,"£477,860",london
218,March,2018,March,2018,218,Mar-18,"£472,357",london
219,April,2018,April,2018,219,Apr-18,"£477,253",london
220,May,2018,May,2018,220,May-18,"£478,485",london
221,June,2018,June,2018,221,Jun-18,"£479,931",london
222,July,2018,July,2018,222,Jul-18,"£484,724",london
223,August,2018,August,2018,223,Aug-18,"£479,550",london
224,September,2018,September,2018,224,Sep-18,"£476,545",london
225,October,2018,October,2018,225,Oct-18,"£480,057",london
226,November,2018,November,2018,226,Nov-18,"£474,347",london
227,December,2018,December,2018,227,Dec-18,"£473,252",london
228,January,2019,January,2019,228,Jan-19,"£470,067",london
229,February,2019,February,2019,229,Feb-19,"£466,068",london
230,March,2019,March,2019,230,Mar-19,"£464,162",london
231,April,2019,April,2019,231,Apr-19,"£469,537",london
232,May,2019,May,2019,232,May-19,"£463,628",london
233,June,2019,June,2019,233,Jun-19,"£470,519",london
234,July,2019,July,2019,234,Jul-19,"£478,505",london
235,August,2019,August,2019,235,Aug-19,"£472,729",london
236,September,2019,September,2019,236,Sep-19,"£477,146",london
237,October,2019,October,2019,237,Oct-19,"£472,668",london
238,November,2019,November,2019,238,Nov-19,"£468,757",london
239,December,2019,December,2019,239,Dec-19,"£479,153",london
240,January,2020,January,2020,240,Jan-20,"£475,948",london
241,February,2020,February,2020,241,Feb-20,"£474,480",london
242,March,2020,March,2020,242,Mar-20,"£482,605",london
243,April,2020,April,2020,243,Apr-20,"£476,159",london
244,May,2020,May,2020,244,May-20,"£473,225",london
245,June,2020,June,2020,245,Jun-20,"£479,969",london
246,July,2020,July,2020,246,Jul-20,"£483,830",london
247,August,2020,August,2020,247,Aug-20,"£489,424",london
248,September,2020,September,2020,248,Sep-20,"£493,205",london
249,October,2020,October,2020,249,Oct-20,"£486,212",london
250,November,2020,November,2020,250,Nov-20,"£494,450",london
251,December,2020,December,2020,251,Dec-20,"£494,304",london
252,January,2021,January,2021,252,Jan-21,"£499,817",london
253,February,2021,February,2021,253,Feb-21,"£490,719",london
254,March,2021,March,2021,254,Mar-21,"£501,758",london
255,April,2021,April,2021,255,Apr-21,"£498,981",london
256,May,2021,May,2021,256,May-21,"£491,272",london
257,June,2021,June,2021,257,Jun-21,"£508,229",london
258,July,2021,July,2021,258,Jul-21,"£514,646",london
259,August,2021,August,2021,259,Aug-21,"£522,576",london
260,September,2021,September,2021,260,Sep-21,"£506,856",london
261,October,2021,October,2021,261,Oct-21,"£516,285",london
262,January,2000,January,2000,262,Jan-00,"£39,743",manchester
263,February,2000,February,2000,263,Feb-00,"£40,396",manchester
264,March,2000,March,2000,264,Mar-00,"£40,113",manchester
265,April,2000,April,2000,265,Apr-00,"£40,894",manchester
266,May,2000,May,2000,266,May-00,"£41,625",manchester
267,June,2000,June,2000,267,Jun-00,"£42,870",manchester
268,July,2000,July,2000,268,Jul-00,"£43,582",manchester
269,August,2000,August,2000,269,Aug-00,"£44,263",manchester
270,September,2000,September,2000,270,Sep-00,"£44,861",manchester
271,October,2000,October,2000,271,Oct-00,"£44,671",manchester
272,November,2000,November,2000,272,Nov-00,"£43,849",manchester
273,December,2000,December,2000,273,Dec-00,"£44,201",manchester
274,January,2001,January,2001,274,Jan-01,"£43,750",manchester
275,February,2001,February,2001,275,Feb-01,"£44,813",manchester
276,March,2001,March,2001,276,Mar-01,"£44,076",manchester
277,April,2001,April,2001,277,Apr-01,"£45,364",manchester
278,May,2001,May,2001,278,May-01,"£46,078",manchester
279,June,2001,June,2001,279,Jun-01,"£46,842",manchester
280,July,2001,July,2001,280,Jul-01,"£48,068",manchester
281,August,2001,August,2001,281,Aug-01,"£49,158",manchester
282,September,2001,September,2001,282,Sep-01,"£50,693",manchester
283,October,2001,October,2001,283,Oct-01,"£50,525",manchester
284,November,2001,November,2001,284,Nov-01,"£49,813",manchester
285,December,2001,December,2001,285,Dec-01,"£49,169",manchester
286,January,2002,January,2002,286,Jan-02,"£48,845",manchester
287,February,2002,February,2002,287,Feb-02,"£48,936",manchester
288,March,2002,March,2002,288,Mar-02,"£49,427",manchester
289,April,2002,April,2002,289,Apr-02,"£51,504",manchester
290,May,2002,May,2002,290,May-02,"£52,934",manchester
291,June,2002,June,2002,291,Jun-02,"£54,970",manchester
292,July,2002,July,2002,292,Jul-02,"£56,166",manchester
293,August,2002,August,2002,293,Aug-02,"£58,516",manchester
294,September,2002,September,2002,294,Sep-02,"£58,513",manchester
295,October,2002,October,2002,295,Oct-02,"£58,905",manchester
296,November,2002,November,2002,296,Nov-02,"£59,466",manchester
297,December,2002,December,2002,297,Dec-02,"£60,179",manchester
298,January,2003,January,2003,298,Jan-03,"£60,263",manchester
299,February,2003,February,2003,299,Feb-03,"£59,348",manchester
300,March,2003,March,2003,300,Mar-03,"£59,642",manchester
301,April,2003,April,2003,301,Apr-03,"£59,396",manchester
302,May,2003,May,2003,302,May-03,"£61,723",manchester
303,June,2003,June,2003,303,Jun-03,"£64,059",manchester
304,July,2003,July,2003,304,Jul-03,"£68,823",manchester
305,August,2003,August,2003,305,Aug-03,"£70,599",manchester
306,September,2003,September,2003,306,Sep-03,"£72,604",manchester
307,October,2003,October,2003,307,Oct-03,"£72,845",manchester
308,November,2003,November,2003,308,Nov-03,"£74,092",manchester
309,December,2003,December,2003,309,Dec-03,"£76,948",manchester
310,January,2004,January,2004,310,Jan-04,"£78,712",manchester
311,February,2004,February,2004,311,Feb-04,"£77,705",manchester
312,March,2004,March,2004,312,Mar-04,"£77,111",manchester
313,April,2004,April,2004,313,Apr-04,"£78,662",manchester
314,May,2004,May,2004,314,May-04,"£82,566",manchester
315,June,2004,June,2004,315,Jun-04,"£86,415",manchester
316,July,2004,July,2004,316,Jul-04,"£90,834",manchester
317,August,2004,August,2004,317,Aug-04,"£93,824",manchester
318,September,2004,September,2004,318,Sep-04,"£96,240",manchester
319,October,2004,October,2004,319,Oct-04,"£95,370",manchester
320,November,2004,November,2004,320,Nov-04,"£95,369",manchester
321,December,2004,December,2004,321,Dec-04,"£94,943",manchester
322,January,2005,January,2005,322,Jan-05,"£93,079",manchester
323,February,2005,February,2005,323,Feb-05,"£93,156",manchester
324,March,2005,March,2005,324,Mar-05,"£93,972",manchester
325,April,2005,April,2005,325,Apr-05,"£96,994",manchester
326,May,2005,May,2005,326,May-05,"£100,861",manchester
327,June,2005,June,2005,327,Jun-05,"£104,824",manchester
328,July,2005,July,2005,328,Jul-05,"£109,262",manchester
329,August,2005,August,2005,329,Aug-05,"£111,767",manchester
330,September,2005,September,2005,330,Sep-05,"£111,799",manchester
331,October,2005,October,2005,331,Oct-05,"£112,531",manchester
332,November,2005,November,2005,332,Nov-05,"£112,591",manchester
333,December,2005,December,2005,333,Dec-05,"£114,236",manchester
334,January,2006,January,2006,334,Jan-06,"£115,012",manchester
335,February,2006,February,2006,335,Feb-06,"£116,625",manchester
336,March,2006,March,2006,336,Mar-06,"£116,567",manchester
337,April,2006,April,2006,337,Apr-06,"£117,816",manchester
338,May,2006,May,2006,338,May-06,"£119,018",manchester
339,June,2006,June,2006,339,Jun-06,"£121,620",manchester
340,July,2006,July,2006,340,Jul-06,"£123,448",manchester
341,August,2006,August,2006,341,Aug-06,"£124,674",manchester
342,September,2006,September,2006,342,Sep-06,"£127,848",manchester
343,October,2006,October,2006,343,Oct-06,"£128,802",manchester
344,November,2006,November,2006,344,Nov-06,"£130,572",manchester
345,December,2006,December,2006,345,Dec-06,"£129,927",manchester
346,January,2007,January,2007,346,Jan-07,"£129,773",manchester
347,February,2007,February,2007,347,Feb-07,"£132,008",manchester
348,March,2007,March,2007,348,Mar-07,"£129,663",manchester
349,April,2007,April,2007,349,Apr-07,"£131,606",manchester
350,May,2007,May,2007,350,May-07,"£130,931",manchester
351,June,2007,June,2007,351,Jun-07,"£135,883",manchester
352,July,2007,July,2007,352,Jul-07,"£138,641",manchester
353,August,2007,August,2007,353,Aug-07,"£140,431",manchester
354,September,2007,September,2007,354,Sep-07,"£139,906",manchester
355,October,2007,October,2007,355,Oct-07,"£137,060",manchester
356,November,2007,November,2007,356,Nov-07,"£136,238",manchester
357,December,2007,December,2007,357,Dec-07,"£138,012",manchester
358,January,2008,January,2008,358,Jan-08,"£139,138",manchester
359,February,2008,February,2008,359,Feb-08,"£138,442",manchester
360,March,2008,March,2008,360,Mar-08,"£134,277",manchester
361,April,2008,April,2008,361,Apr-08,"£133,220",manchester
362,May,2008,May,2008,362,May-08,"£132,518",manchester
363,June,2008,June,2008,363,Jun-08,"£133,645",manchester
364,July,2008,July,2008,364,Jul-08,"£133,188",manchester
365,August,2008,August,2008,365,Aug-08,"£131,761",manchester
366,September,2008,September,2008,366,Sep-08,"£128,352",manchester
367,October,2008,October,2008,367,Oct-08,"£125,521",manchester
368,November,2008,November,2008,368,Nov-08,"£123,439",manchester
369,December,2008,December,2008,369,Dec-08,"£120,581",manchester
370,January,2009,January,2009,370,Jan-09,"£116,549",manchester
371,February,2009,February,2009,371,Feb-09,"£113,432",manchester
372,March,2009,March,2009,372,Mar-09,"£111,679",manchester
373,April,2009,April,2009,373,Apr-09,"£112,403",manchester
374,May,2009,May,2009,374,May-09,"£113,405",manchester
375,June,2009,June,2009,375,Jun-09,"£116,478",manchester
376,July,2009,July,2009,376,Jul-09,"£118,778",manchester
377,August,2009,August,2009,377,Aug-09,"£119,543",manchester
378,September,2009,September,2009,378,Sep-09,"£120,342",manchester
379,October,2009,October,2009,379,Oct-09,"£119,132",manchester
380,November,2009,November,2009,380,Nov-09,"£119,080",manchester
381,December,2009,December,2009,381,Dec-09,"£120,581",manchester
382,January,2010,January,2010,382,Jan-10,"£119,795",manchester
383,February,2010,February,2010,383,Feb-10,"£119,373",manchester
384,March,2010,March,2010,384,Mar-10,"£116,439",manchester
385,April,2010,April,2010,385,Apr-10,"£119,570",manchester
386,May,2010,May,2010,386,May-10,"£120,923",manchester
387,June,2010,June,2010,387,Jun-10,"£122,361",manchester
388,July,2010,July,2010,388,Jul-10,"£120,447",manchester
389,August,2010,August,2010,389,Aug-10,"£121,781",manchester
390,September,2010,September,2010,390,Sep-10,"£121,385",manchester
391,October,2010,October,2010,391,Oct-10,"£123,251",manchester
392,November,2010,November,2010,392,Nov-10,"£120,295",manchester
393,December,2010,December,2010,393,Dec-10,"£119,662",manchester
394,January,2011,January,2011,394,Jan-11,"£116,754",manchester
395,February,2011,February,2011,395,Feb-11,"£118,610",manchester
396,March,2011,March,2011,396,Mar-11,"£116,328",manchester
397,April,2011,April,2011,397,Apr-11,"£116,936",manchester
398,May,2011,May,2011,398,May-11,"£117,007",manchester
399,June,2011,June,2011,399,Jun-11,"£120,271",manchester
400,July,2011,July,2011,400,Jul-11,"£122,780",manchester
401,August,2011,August,2011,401,Aug-11,"£122,955",manchester
402,September,2011,September,2011,402,Sep-11,"£123,414",manchester
403,October,2011,October,2011,403,Oct-11,"£119,600",manchester
404,November,2011,November,2011,404,Nov-11,"£117,194",manchester
405,December,2011,December,2011,405,Dec-11,"£115,465",manchester
406,January,2012,January,2012,406,Jan-12,"£117,046",manchester
407,February,2012,February,2012,407,Feb-12,"£118,158",manchester
408,March,2012,March,2012,408,Mar-12,"£119,403",manchester
409,April,2012,April,2012,409,Apr-12,"£120,497",manchester
410,May,2012,May,2012,410,May-12,"£119,126",manchester
411,June,2012,June,2012,411,Jun-12,"£120,468",manchester
412,July,2012,July,2012,412,Jul-12,"£120,320",manchester
413,August,2012,August,2012,413,Aug-12,"£123,867",manchester
414,September,2012,September,2012,414,Sep-12,"£122,813",manchester
415,October,2012,October,2012,415,Oct-12,"£122,069",manchester
416,November,2012,November,2012,416,Nov-12,"£119,452",manchester
417,December,2012,December,2012,417,Dec-12,"£117,635",manchester
418,January,2013,January,2013,418,Jan-13,"£117,248",manchester
419,February,2013,February,2013,419,Feb-13,"£116,756",manchester
420,March,2013,March,2013,420,Mar-13,"£116,392",manchester
421,April,2013,April,2013,421,Apr-13,"£116,566",manchester
422,May,2013,May,2013,422,May-13,"£118,641",manchester
423,June,2013,June,2013,423,Jun-13,"£119,951",manchester
424,July,2013,July,2013,424,Jul-13,"£121,836",manchester
425,August,2013,August,2013,425,Aug-13,"£122,189",manchester
426,September,2013,September,2013,426,Sep-13,"£124,071",manchester
427,October,2013,October,2013,427,Oct-13,"£124,954",manchester
428,November,2013,November,2013,428,Nov-13,"£125,038",manchester
429,December,2013,December,2013,429,Dec-13,"£124,914",manchester
430,January,2014,January,2014,430,Jan-14,"£124,522",manchester
431,February,2014,February,2014,431,Feb-14,"£126,112",manchester
432,March,2014,March,2014,432,Mar-14,"£125,362",manchester
433,April,2014,April,2014,433,Apr-14,"£125,519",manchester
434,May,2014,May,2014,434,May-14,"£126,087",manchester
435,June,2014,June,2014,435,Jun-14,"£129,041",manchester
436,July,2014,July,2014,436,Jul-14,"£132,316",manchester
437,August,2014,August,2014,437,Aug-14,"£133,892",manchester
438,September,2014,September,2014,438,Sep-14,"£135,670",manchester
439,October,2014,October,2014,439,Oct-14,"£135,730",manchester
440,November,2014,November,2014,440,Nov-14,"£135,620",manchester
441,December,2014,December,2014,441,Dec-14,"£134,384",manchester
442,January,2015,January,2015,442,Jan-15,"£134,515",manchester
443,February,2015,February,2015,443,Feb-15,"£134,373",manchester
444,March,2015,March,2015,444,Mar-15,"£134,409",manchester
445,April,2015,April,2015,445,Apr-15,"£134,512",manchester
446,May,2015,May,2015,446,May-15,"£136,855",manchester
447,June,2015,June,2015,447,Jun-15,"£137,418",manchester
448,July,2015,July,2015,448,Jul-15,"£139,079",manchester
449,August,2015,August,2015,449,Aug-15,"£141,367",manchester
450,September,2015,September,2015,450,Sep-15,"£144,995",manchester
451,October,2015,October,2015,451,Oct-15,"£146,372",manchester
452,November,2015,November,2015,452,Nov-15,"£144,711",manchester
453,December,2015,December,2015,453,Dec-15,"£145,096",manchester
454,January,2016,January,2016,454,Jan-16,"£146,859",manchester
455,February,2016,February,2016,455,Feb-16,"£147,888",manchester
456,March,2016,March,2016,456,Mar-16,"£147,734",manchester
457,April,2016,April,2016,457,Apr-16,"£148,994",manchester
458,May,2016,May,2016,458,May-16,"£149,533",manchester
459,June,2016,June,2016,459,Jun-16,"£151,281",manchester
460,July,2016,July,2016,460,Jul-16,"£151,327",manchester
461,August,2016,August,2016,461,Aug-16,"£153,779",manchester
462,September,2016,September,2016,462,Sep-16,"£155,506",manchester
463,October,2016,October,2016,463,Oct-16,"£155,247",manchester
464,November,2016,November,2016,464,Nov-16,"£155,511",manchester
465,December,2016,December,2016,465,Dec-16,"£156,281",manchester
466,January,2017,January,2017,466,Jan-17,"£158,278",manchester
467,February,2017,February,2017,467,Feb-17,"£159,666",manchester
468,March,2017,March,2017,468,Mar-17,"£160,087",manchester
469,April,2017,April,2017,469,Apr-17,"£160,010",manchester
470,May,2017,May,2017,470,May-17,"£158,994",manchester
471,June,2017,June,2017,471,Jun-17,"£161,473",manchester
472,July,2017,July,2017,472,Jul-17,"£163,574",manchester
473,August,2017,August,2017,473,Aug-17,"£168,739",manchester
474,September,2017,September,2017,474,Sep-17,"£169,898",manchester
475,October,2017,October,2017,475,Oct-17,"£171,477",manchester
476,November,2017,November,2017,476,Nov-17,"£172,142",manchester
477,December,2017,December,2017,477,Dec-17,"£172,720",manchester
478,January,2018,January,2018,478,Jan-18,"£170,927",manchester
479,February,2018,February,2018,479,Feb-18,"£169,542",manchester
480,March,2018,March,2018,480,Mar-18,"£168,551",manchester
481,April,2018,April,2018,481,Apr-18,"£172,454",manchester
482,May,2018,May,2018,482,May-18,"£173,414",manchester
483,June,2018,June,2018,483,Jun-18,"£177,297",manchester
484,July,2018,July,2018,484,Jul-18,"£177,254",manchester
485,August,2018,August,2018,485,Aug-18,"£179,831",manchester
